Dia;Mes;Ano;FullName;TweetText;Link(s);Media;Retweets;Favorites;Followers;Follows;Listed
17;5;2019;Jair M. Bolsonaro;Há somente dois caminhos para evitar contingenciamento de gastos: ou imprime dinheiro e gera inflação, ou comete-se crime de responsabilidade fiscal. Quem finge não entender essa lógica age como um abutre, aguardando ansiosamente pelo mal do Brasil para no fim se alimentar dele.;;;515;2389;4239035;347;4388
17;5;2019;Jair M. Bolsonaro;"Dilma cortou 10 bilhões da Educação e doou 50 bilhões para países amigos (algumas ditaduras). Quem participou dessa última manifestação e não tinha conhecimento disso eu lamento, mas foram usados como massa de manobra pelo bando do ""Lula livre.""";;;327;1235;4238544;347;4385
16;5;2019;Jair M. Bolsonaro;Boa noite! Valeu! 👍🏻;;;1308;11660;4234674;347;4385
16;5;2019;Jair M. Bolsonaro;Lula explica para a esquerda como funciona e quando é preciso o contingenciamento de recursos públicos (praticado por todos os governos). Agradeço a explanação! 👍🏻;;;2416;9722;4234674;347;4385
16;5;2019;Jair M. Bolsonaro;Hoje, 16/05, às 19h, horário de Brasília, entraremos ao vivo no Facebook, diretamente do Texas, Estados Unidos, para tratar sobre temas relevantes em nossa Live semanal. Até daqui a pouco! 👍🏻;;;668;3850;4232747;347;4380
16;5;2019;Jair M. Bolsonaro;Pela falta de recursos se faz contingenciamento. Todos os governos já fizeram isso, inclusive na Educação. Aqui nos Estados Unidos uma repórter da Folha desconhecia a diferença entre corte e contingenciamento. Nós explicamos. Assista:;;;352;1754;4230252;347;4381
16;5;2019;Jair M. Bolsonaro;A chamada é falsa! No vídeo, os pais apenas criticam o caráter partidário das manifestações e a adesão de parte do corpo docente da referida escola, além de exigirem a garantia das aulas para seus filhos. RT @JornalOGlobo: Após protestos contra cortes na Educação, Bolsonaro publica vídeo de pais de alunos de escola particular em sua defesa.;;;738;4339;4230252;347;4381
16;5;2019;Jair M. Bolsonaro;Pela falta de recursos se faz contingenciamento. Todos os governos já fizeram isso, inclusive na Educação. Aqui nos Estados Unidos uma repórter da Folha desconhecia a diferença entre corte e contingenciamento. Nós explicamos. Assista:;;;500;2332;4229472;347;4384
16;5;2019;Jair M. Bolsonaro;Se há algo de que jamais abrirei mão, são os princípios fundamentais que sempre defendi e com os quais a maioria dos brasileiros sempre se identificou. O Brasil pediu uma nova forma de se relacionar com os poderes da República, e assim seguirei, em respeito máximo à população.;;;2229;14199;4228720;347;4384
16;5;2019;Jair M. Bolsonaro;- Pais de alunos do Colégio Santo Agostinho, Rio/RJ, reagem ao uso político que alguns querem fazer com seus filhos na escola. - Os valores e o conhecimento devem ser a tônica daqueles que matricularam seus filhos nessa escola particular e, certamente, em muitas outras.;;pic.twitter.com/yIRl5rxaqb;654;3099;4227528;347;4381
16;5;2019;Jair M. Bolsonaro;Uma mentira repetida mil vezes continua sendo mentira. Nós trabalhamos com a verdade. O socialismo gera o mal generalizado e quem mais sofre é o povo. Com a palavra, o Ministro da Educação:;;pic.twitter.com/Fu914jdx41;1538;6874;4226960;347;4383
15;5;2019;Jair M. Bolsonaro;It was a great pleasure, Senator! The Brazilian and American people have a lot to gain from our cooperation and friendship. 👍🏻 RT @tedcruz: Heidi & I had dinner w/ ⁦@jairbolsonaro⁩ in TX, after DeBlasio disinvited him from NYC. After years of tension btwn leaders in Brazil &amp, US, it’s good for Western Hemisphere to have Brazilian President who wants to be strong ally to America. We extend the hand of friendship.;https://twitter.com/tedcruz/status/1128861606883020800;https://pbs.twimg.com/media/D6qFpJUW0AIHFFU.jpg;410;2867;4225143;347;4382
15;5;2019;Jair M. Bolsonaro;Na tarde de hoje encontrei-me com o ex-presidente dos Estados Unidos, George W. Bush, em seu escritório no Texas. Uma saudável e produtiva conversa. Seguimos trabalhando e buscando conquistar cada vez mais a confiança do mundo no Brasil. 🇧🇷🤝🇺🇸;;https://pbs.twimg.com/media/D6pC6fdXYAA5bCY.jpg;713;5391;4220544;348;4382
15;5;2019;Jair M. Bolsonaro;Mesmo distante, em uma lanchonete no Texas, Estados Unidos, é grande o carinho e o amor pelo Brasil e a confiança em nosso Governo. 🇧🇷👍🏻;;pic.twitter.com/oVJcFQvabq;1112;6628;4218622;348;4382
15;5;2019;Jair M. Bolsonaro;Ministro da Educação @AbrahamWeint mostra hipocrisia política no debate sobre cortes.;http://youtu.be/4kceWe71CCM;;503;2664;4213985;348;4378
14;5;2019;Jair M. Bolsonaro;Sancionamos no dia de ontem projeto de lei que dá permissão a autoridades policiais de conceder medidas protetivas de urgência a mulheres com vida ou integridade física ameaçadas na ausência de um juiz de plantão e/ou indisponibilidade de uma delegacia em seu município.;;;1215;7043;4209002;348;4376
